id,id_de,noi_dung,dapan_a,dapan_b,dapan_c,dapan_d,dapan_dung
40,2,5 - 2 = ?,2,3,4,1,B
41,3,1 + 6 = ?,7,6,8,5,A
42,3,7 - 3 = ?,4,5,3,6,A
43,3,2 + 8 = ?,10,9,11,8,A
44,3,9 - 7 = ?,2,3,1,4,A
45,3,4 + 3 = ?,7,6,8,5,A
46,3,6 - 1 = ?,5,4,6,3,A
47,3,3 + 4 = ?,6,7,8,5,B
48,3,8 - 6 = ?,1,2,3,4,B
49,3,5 + 5 = ?,10,9,11,8,A
50,3,7 - 4 = ?,2,3,4,5,B
51,3,2 + 9 = ?,11,10,12,9,B
52,3,10 - 3 = ?,6,7,8,9,C
53,3,1 + 5 = ?,5,6,7,4,B
54,3,6 - 4 = ?,1,2,3,4,B
55,3,3 + 6 = ?,8,9,7,10,B
56,3,9 - 2 = ?,7,6,8,5,A
57,3,4 + 6 = ?,10,9,11,8,A
58,3,8 - 5 = ?,2,3,4,5,B
59,3,5 + 2 = ?,7,6,8,9,A
60,3,7 - 1 = ?,6,5,7,4,A
61,4,12 + 5 = ?,16,17,18,19,B
62,4,20 - 7 = ?,12,13,14,15,C
63,4,8 x 2 = ?,14,15,16,16,C
64,4,18 ÷ 3 = ?,6,5,7,8,A
65,4,15 + 9 = ?,23,24,25,26,C
66,4,30 - 12 = ?,17,18,19,20,B
67,4,6 x 4 = ?,24,22,23,25,A
68,4,21 ÷ 7 = ?,2,3,4,5,B
69,4,14 + 6 = ?,19,20,21,22,C
70,4,25 - 8 = ?,16,17,18,19,B
71,4,9 x 3 = ?,26,27,28,29,B
72,4,12 ÷ 4 = ?,2,3,4,5,C
73,4,11 + 7 = ?,17,18,19,20,B
74,4,28 - 15 = ?,13,14,15,16,A
75,4,5 x 5 = ?,20,25,30,35,B
76,4,36 ÷ 6 = ?,5,6,7,8,B
77,4,13 + 8 = ?,20,21,22,23,B
78,4,40 - 18 = ?,21,22,23,24,C
79,4,7 x 3 = ?,20,21,22,23,B
80,4,45 ÷ 5 = ?,8,9,10,11,C
81,5,16 + 9 = ?,24,25,26,27,B
82,5,33 - 17 = ?,15,16,17,18,C
83,5,4 x 6 = ?,22,23,24,25,C
84,5,32 ÷ 8 = ?,3,4,5,6,B
85,5,19 + 6 = ?,24,25,26,27,C
86,5,27 - 9 = ?,17,18,19,20,C
87,5,8 x 5 = ?,39,40,41,42,B
88,5,56 ÷ 7 = ?,7,8,9,10,B
89,5,21 + 14 = ?,34,35,36,37,C
90,5,50 - 23 = ?,26,27,28,29,B
91,5,3 x 7 = ?,20,21,22,23,B
92,5,42 ÷ 6 = ?,6,7,8,9,B
93,5,15 + 12 = ?,26,27,28,29,C
94,5,38 - 16 = ?,21,22,23,24,C
95,5,6 x 8 = ?,46,47,48,49,C
96,5,54 ÷ 9 = ?,5,6,7,8,C
97,5,22 + 13 = ?,34,35,36,37,B
98,5,47 - 19 = ?,27,28,29,30,C
99,5,9 x 4 = ?,34,35,36,37,C
100,5,63 ÷ 7 = ?,8,9,10,11,B
101,6,17 + 15 = ?,31,32,33,34,C
102,6,29 - 14 = ?,14,15,16,17,B
103,6,5 x 6 = ?,29,30,31,32,B
104,6,48 ÷ 8 = ?,5,6,7,8,B
105,6,24 + 18 = ?,41,42,43,44,B
106,6,36 - 12 = ?,23,24,25,26,C
107,6,7 x 5 = ?,34,35,36,37,B
108,6,63 ÷ 9 = ?,6,7,8,9,B
109,6,11 + 19 = ?,29,30,31,32,C
110,6,40 - 15 = ?,24,25,26,27,C
111,6,6 x 7 = ?,40,41,42,43,C
112,6,72 ÷ 8 = ?,8,9,10,11,C
113,6,18 + 16 = ?,33,34,35,36,C
114,6,49 - 21 = ?,27,28,29,30,C
115,6,8 x 6 = ?,46,47,48,49,C
116,6,81 ÷ 9 = ?,8,9,10,11,B
117,6,23 + 17 = ?,39,40,41,42,C
118,6,55 - 27 = ?,27,28,29,30,B
119,6,4 x 9 = ?,34,35,36,37,C
120,6,36 ÷ 6 = ?,5,6,7,8,B
121,7,14 + 19 = ?,32,33,34,35,C
122,7,60 - 18 = ?,41,42,43,44,C
123,7,125 + 378 = ?,503,502,504,501,A
124,7,642 - 358 = ?,283,284,285,286,B
125,7,23 x 4 = ?,91,92,93,92,D
126,7,144 ÷ 12 = ?,11,12,13,14,B
127,7,276 + 189 = ?,464,465,466,467,C
128,7,800 - 475 = ?,324,325,326,327,B
129,7,15 x 6 = ?,90,91,89,92,A
130,7,56 ÷ 7 = ?,7,8,9,6,B
131,7,389 + 112 = ?,500,501,502,503,B
132,7,570 - 285 = ?,285,286,287,288,A
133,7,12 x 8 = ?,95,96,97,98,B
134,7,144 ÷ 9 = ?,15,16,17,18,B
135,7,213 + 176 = ?,388,389,390,391,C
136,7,450 - 198 = ?,251,252,253,254,B
137,7,9 x 7 = ?,62,63,64,65,B
138,7,81 ÷ 9 = ?,8,9,10,11,B
139,7,324 + 146 = ?,469,470,471,472,C
140,7,700 - 368 = ?,331,332,333,334,C
141,8,11 x 12 = ?,131,132,133,134,B
142,8,144 ÷ 8 = ?,17,18,19,20,B
143,8,125 + 276 = ?,400,401,402,403,C
144,8,632 - 247 = ?,384,385,386,387,C
145,8,13 x 5 = ?,64,65,66,67,B
146,8,96 ÷ 12 = ?,7,8,9,10,B
147,8,418 + 157 = ?,573,574,575,576,C
148,8,500 - 236 = ?,263,264,265,266,C
149,8,14 x 6 = ?,83,84,85,86,C
150,8,180 ÷ 15 = ?,11,12,13,14,B
151,8,245 + 378 = ?,621,622,623,624,C
152,8,630 - 297 = ?,332,333,334,335,C
153,8,17 x 3 = ?,50,51,52,53,B
154,8,144 ÷ 16 = ?,8,9,10,11,C
155,8,326 + 189 = ?,514,515,516,517,C
156,8,700 - 415 = ?,284,285,286,287,B
157,8,15 x 8 = ?,120,121,122,123,A
158,8,72 ÷ 6 = ?,11,12,13,14,B
159,8,245 + 356 = ?,599,600,601,602,C
160,8,810 - 423 = ?,386,387,388,389,B
161,9,18 x 4 = ?,71,72,73,74,B
162,9,144 ÷ 12 = ?,11,12,13,14,B
163,9,325 + 174 = ?,498,499,500,501,C
164,9,630 - 297 = ?,332,333,334,335,B
165,9,16 x 5 = ?,79,80,81,82,B
166,9,108 ÷ 9 = ?,11,12,13,14,B
167,9,423 + 176 = ?,598,599,600,601,C
168,9,800 - 487 = ?,312,313,314,315,C
169,9,19 x 3 = ?,56,57,58,59,B
170,9,144 ÷ 8 = ?,17,18,19,20,B
171,9,214 + 387 = ?,600,601,602,603,C
172,9,550 - 276 = ?,272,273,274,275,C
173,9,12 x 11 = ?,130,131,132,133,C
174,9,96 ÷ 8 = ?,11,12,13,14,B
175,9,348 + 267 = ?,614,615,616,617,C
176,9,700 - 359 = ?,340,341,342,343,B
177,9,13 x 9 = ?,115,116,117,118,C
178,9,180 ÷ 12 = ?,14,15,16,17,B
179,9,256 + 189 = ?,444,445,446,447,C
180,9,620 - 287 = ?,332,333,334,335,C
181,10,15 x 7 = ?,104,105,106,107,B
182,10,84 ÷ 7 = ?,11,12,13,14,B
183,10,312 + 178 = ?,489,490,491,492,C
184,10,750 - 398 = ?,351,352,353,354,C
185,10,2345 + 678 = ?,3023,3022,3024,3025,C
186,10,5432 - 2897 = ?,2535,2534,2536,2537,A
187,10,125 x 6 = ?,750,751,752,753,A
188,10,144 ÷ 12 = ?,11,12,13,14,B
189,10,328 + 467 = ?,795,794,796,797,A
190,10,8000 - 3745 = ?,4255,4254,4256,4257,A
191,10,48 x 7 = ?,336,337,338,339,A
192,10,288 ÷ 8 = ?,35,36,37,38,B
193,10,412 + 589 = ?,1000,1001,1002,1003,C
194,10,672 - 289 = ?,382,383,384,385,C
195,10,56 x 9 = ?,502,503,504,505,C
196,10,144 ÷ 9 = ?,15,16,17,18,B
197,10,213 + 387 = ?,598,599,600,601,C
198,10,900 - 487 = ?,412,413,414,415,C
199,10,32 x 6 = ?,192,193,194,195,A
200,10,144 ÷ 12 = ?,11,12,13,14,B
201,11,324 + 576 = ?,900,901,902,903,A
202,11,1000 - 459 = ?,541,542,543,544,A
203,11,23 x 14 = ?,321,322,323,324,C
204,11,360 ÷ 12 = ?,29,30,31,32,B
205,11,214 + 387 = ?,600,601,602,603,C
206,11,750 - 398 = ?,351,352,353,354,C
207,11,17 x 15 = ?,255,256,257,258,B
208,11,96 ÷ 8 = ?,11,12,13,14,B
209,11,348 + 267 = ?,614,615,616,617,C
210,11,620 - 287 = ?,332,333,334,335,C
211,11,18 x 13 = ?,234,235,236,237,C
212,11,180 ÷ 12 = ?,14,15,16,17,B
213,11,256 + 189 = ?,444,445,446,447,C
214,11,620 - 287 = ?,332,333,334,335,C
215,11,15 x 7 = ?,104,105,106,107,B
216,11,84 ÷ 7 = ?,11,12,13,14,B
217,11,312 + 178 = ?,489,490,491,492,C
218,11,750 - 398 = ?,351,352,353,354,C
219,11,23 x 18 = ?,410,411,412,413,C
220,11,360 ÷ 15 = ?,23,24,25,26,C
221,12,214 + 387 = ?,600,601,602,603,C
222,12,800 - 459 = ?,341,342,343,344,C
223,12,19 x 16 = ?,302,303,304,305,B
224,12,144 ÷ 12 = ?,11,12,13,14,B
225,12,324 + 576 = ?,900,901,902,903,A
226,12,1000 - 487 = ?,513,514,515,516,C
227,12,22 x 14 = ?,308,309,310,311,C
228,12,288 ÷ 8 = ?,35,36,37,38,B
229,12,412 + 589 = ?,1000,1001,1002,1003,C
230,12,672 - 289 = ?,382,383,384,385,C
231,12,56 x 13 = ?,728,729,730,731,A
232,12,144 ÷ 12 = ?,11,12,13,14,B
233,12,213 + 387 = ?,598,599,600,601,C
234,12,900 - 487 = ?,412,413,414,415,C
235,12,32 x 17 = ?,544,545,546,547,C
236,12,288 ÷ 12 = ?,23,24,25,26,B
237,12,324 + 576 = ?,900,901,902,903,A
238,12,1000 - 459 = ?,541,542,543,544,A
239,12,14 x 16 = ?,222,223,224,225,C
240,12,360 ÷ 15 = ?,23,24,25,26,C
241,13,256 + 189 = ?,444,445,446,447,C
242,13,620 - 287 = ?,332,333,334,335,C
243,13,234 + 678 = ?,911,912,913,914,C
244,13,432 - 189 = ?,243,242,244,245,A
245,13,25 x 6 = ?,150,151,152,153,A
246,13,144 ÷ 12 = ?,11,12,13,14,B
247,13,328 + 467 = ?,794,795,796,797,B
248,13,800 - 374 = ?,426,425,427,428,B
249,13,48 x 7 = ?,336,337,338,339,A
250,13,288 ÷ 8 = ?,35,36,37,38,B
251,13,412 + 589 = ?,1000,1001,1002,1003,C
252,13,672 - 289 = ?,382,383,384,385,C
253,13,56 x 9 = ?,502,503,504,505,C
254,13,144 ÷ 9 = ?,15,16,17,18,B
255,13,213 + 387 = ?,598,599,600,601,C
256,13,900 - 487 = ?,412,413,414,415,C
257,13,32 x 6 = ?,192,193,194,195,A
258,13,324 + 576 = ?,899,900,901,902,B
259,13,1000 - 459 = ?,541,542,543,544,A
260,13,23 x 14 = ?,321,322,323,324,C
261,14,360 ÷ 12 = ?,29,30,31,32,B
262,14,214 + 387 = ?,600,601,602,603,C
263,14,750 - 398 = ?,351,352,353,354,C
264,14,17 x 15 = ?,255,256,257,258,B
265,14,96 ÷ 8 = ?,11,12,13,14,B
266,14,348 + 267 = ?,614,615,616,617,C
267,14,620 - 287 = ?,332,333,334,335,C
268,14,18 x 13 = ?,234,235,236,237,C
269,14,180 ÷ 12 = ?,14,15,16,17,B
270,14,256 + 189 = ?,444,445,446,447,C
271,14,620 - 287 = ?,332,333,334,335,C
272,14,15 x 7 = ?,104,105,106,107,B
273,14,84 ÷ 7 = ?,11,12,13,14,B
274,14,312 + 178 = ?,489,490,491,492,C
275,14,750 - 398 = ?,351,352,353,354,C
276,14,23 x 18 = ?,410,411,412,413,C
277,14,360 ÷ 15 = ?,23,24,25,26,C
278,14,214 + 387 = ?,600,601,602,603,C
279,14,800 - 459 = ?,341,342,343,344,C
280,14,19 x 16 = ?,302,303,304,305,B
281,15,324 + 576 = ?,900,901,902,903,A
282,15,22 x 14 = ?,308,309,310,311,C
283,15,288 ÷ 8 = ?,35,36,37,38,B
284,15,412 + 589 = ?,1000,1001,1002,1003,C
285,15,672 - 289 = ?,382,383,384,385,C
286,15,56 x 13 = ?,728,729,730,731,A
287,15,213 + 387 = ?,598,599,600,601,C
288,15,900 - 487 = ?,412,413,414,415,C
289,15,32 x 17 = ?,544,545,546,547,C
290,15,288 ÷ 12 = ?,23,24,25,26,B
291,15,324 + 576 = ?,900,901,902,903,A
292,15,1000 - 459 = ?,541,542,543,544,A
293,15,14 x 16 = ?,222,223,224,225,C
294,15,360 ÷ 15 = ?,23,24,25,26,C
295,15,256 + 189 = ?,444,445,446,447,C
296,15,620 - 287 = ?,332,333,334,335,C
297,15,45 x 8 = ?,356,357,358,359,B
298,15,144 ÷ 16 = ?,8,9,10,11,C
299,15,325 + 174 = ?,498,499,500,501,C
300,15,630 - 297 = ?,332,333,334,335,B
301,16,16 x 5 = ?,79,80,81,82,B
302,16,108 ÷ 9 = ?,11,12,13,14,B
303,16,423 + 176 = ?,598,599,600,601,C
304,16,800 - 487 = ?,312,313,314,315,C
305,16,19 x 3 = ?,56,57,58,59,B
306,16,144 ÷ 8 = ?,17,18,19,20,B
307,16,214 + 387 = ?,600,601,602,603,C
308,16,550 - 276 = ?,272,273,274,275,C
309,16,345 + 678 = ?,1023,1022,1024,1025,A
310,16,1200 - 487 = ?,712,713,713,714,C
311,16,36 x 12 = ?,432,433,434,435,A
312,16,144 ÷ 12 = ?,11,12,13,14,B
313,16,523 + 478 = ?,1001,1000,1002,1003,A
314,16,1500 - 678 = ?,822,823,824,825,A
315,16,48 x 15 = ?,720,721,722,723,A
316,16,360 ÷ 12 = ?,29,30,31,32,B
317,16,412 + 589 = ?,1001,1000,1002,1003,A
318,16,672 - 289 = ?,382,383,384,385,C
319,16,56 x 19 = ?,1064,1065,1066,1067,A
320,16,144 ÷ 9 = ?,15,16,17,18,B
321,17,213 + 387 = ?,598,599,600,601,C
322,17,900 - 487 = ?,412,413,414,415,C
323,17,32 x 26 = ?,832,833,834,835,A
324,17,324 + 576 = ?,899,900,901,902,B
325,17,1000 - 459 = ?,541,542,543,544,A
326,17,23 x 14 = ?,321,322,323,324,C
327,17,360 ÷ 15 = ?,23,24,25,26,C
328,17,214 + 387 = ?,600,601,602,603,C
329,17,750 - 398 = ?,351,352,353,354,C
330,17,17 x 25 = ?,425,426,427,428,B
331,17,96 ÷ 8 = ?,11,12,13,14,B
332,17,348 + 267 = ?,614,615,616,617,C
333,17,620 - 287 = ?,332,333,334,335,C
334,17,18 x 23 = ?,414,415,416,417,C
335,17,180 ÷ 12 = ?,14,15,16,17,B
336,17,256 + 189 = ?,444,445,446,447,C
337,17,620 - 287 = ?,332,333,334,335,C
338,17,15 x 27 = ?,404,405,406,407,B
339,17,84 ÷ 7 = ?,11,12,13,14,B
340,17,312 + 178 = ?,489,490,491,492,C
341,18,750 - 398 = ?,351,352,353,354,C
342,18,23 x 18 = ?,410,411,412,413,C
343,18,360 ÷ 15 = ?,23,24,25,26,C
344,18,214 + 387 = ?,600,601,602,603,C
345,18,800 - 459 = ?,341,342,343,344,C
346,18,19 x 16 = ?,302,303,304,305,B
347,18,324 + 576 = ?,900,901,902,903,A
348,18,22 x 14 = ?,308,309,310,311,C
349,18,288 ÷ 8 = ?,35,36,37,38,B
350,18,412 + 589 = ?,1000,1001,1002,1003,C
351,18,672 - 289 = ?,382,383,384,385,C
352,18,56 x 13 = ?,728,729,730,731,A
353,18,213 + 387 = ?,598,599,600,601,C
354,18,900 - 487 = ?,412,413,414,415,C
355,18,32 x 17 = ?,544,545,546,547,C
356,18,288 ÷ 12 = ?,23,24,25,26,B
357,18,324 + 576 = ?,900,901,902,903,A
358,18,1000 - 459 = ?,541,542,543,544,A
359,18,14 x 16 = ?,222,223,224,225,C
360,18,360 ÷ 15 = ?,23,24,25,26,C
361,19,256 + 189 = ?,444,445,446,447,C
362,19,620 - 287 = ?,332,333,334,335,C
363,19,45 x 8 = ?,356,357,358,359,B
364,19,144 ÷ 16 = ?,8,9,10,11,C
365,19,325 + 174 = ?,498,499,500,501,C
366,19,630 - 297 = ?,332,333,334,335,B
367,19,16 x 5 = ?,79,80,81,82,B
368,19,108 ÷ 9 = ?,11,12,13,14,B
369,19,423 + 176 = ?,598,599,600,601,C
370,19,800 - 487 = ?,312,313,314,315,C
371,19,19 x 3 = ?,56,57,58,59,B
372,19,144 ÷ 8 = ?,17,18,19,20,B
373,19,214 + 387 = ?,600,601,602,603,C
374,19,550 - 276 = ?,272,273,274,275,C
375,19,345 + 678 = ?,1023,1022,1024,1025,A
376,19,1200 - 487 = ?,712,713,714,715,C
377,19,36 x 12 = ?,432,433,434,435,A
378,19,144 ÷ 12 = ?,11,12,13,14,B
379,19,523 + 478 = ?,1001,1000,1002,1003,A
380,19,1500 - 678 = ?,822,823,824,825,A
381,20,48 x 15 = ?,720,721,722,723,A
382,20,360 ÷ 12 = ?,29,30,31,32,B
383,20,412 + 589 = ?,1001,1000,1002,1003,A
384,20,672 - 289 = ?,382,383,384,385,C
385,20,56 x 19 = ?,1064,1065,1066,1067,A
386,20,144 ÷ 9 = ?,15,16,17,18,B
387,20,213 + 387 = ?,598,599,600,601,C
388,20,900 - 487 = ?,412,413,414,415,C
389,20,32 x 26 = ?,832,833,834,835,A
390,20,324 + 576 = ?,899,900,901,902,B
391,20,1000 - 459 = ?,541,542,543,544,A
392,20,23 x 14 = ?,321,322,323,324,C
393,20,360 ÷ 15 = ?,23,24,25,26,C
394,20,214 + 387 = ?,600,601,602,603,C
395,20,750 - 398 = ?,351,352,353,354,C
396,20,17 x 25 = ?,425,426,427,428,B
397,20,96 ÷ 8 = ?,11,12,13,14,B
398,20,348 + 267 = ?,614,615,616,617,C
399,20,620 - 287 = ?,332,333,334,335,C
400,20,18 x 23 = ?,414,415,416,417,C
401,21,180 ÷ 12 = ?,14,15,16,17,B
402,21,256 + 189 = ?,444,445,446,447,C
403,21,620 - 287 = ?,332,333,334,335,C
404,21,15 x 27 = ?,404,405,406,407,B
405,21,84 ÷ 7 = ?,11,12,13,14,B
406,21,312 + 178 = ?,489,490,491,492,C
407,21,750 - 398 = ?,351,352,353,354,C
408,21,23 x 18 = ?,410,411,412,413,C
409,21,360 ÷ 15 = ?,23,24,25,26,C
410,21,214 + 387 = ?,600,601,602,603,C
411,21,800 - 459 = ?,341,342,343,344,C
412,21,19 x 16 = ?,302,303,304,305,B
413,21,324 + 576 = ?,900,901,902,903,A
414,21,22 x 14 = ?,308,309,310,311,C
415,21,288 ÷ 8 = ?,35,36,37,38,B
416,21,412 + 589 = ?,1000,1001,1002,1003,C
417,21,672 - 289 = ?,382,383,384,385,C
418,21,56 x 13 = ?,728,729,730,731,A
419,21,213 + 387 = ?,598,599,600,601,C
420,21,900 - 487 = ?,412,413,414,415,C
421,22,32 x 17 = ?,544,545,546,547,C
422,22,288 ÷ 12 = ?,23,24,25,26,B
423,22,324 + 576 = ?,900,901,902,903,A
424,22,1000 - 459 = ?,541,542,543,544,A
425,22,14 x 16 = ?,222,223,224,225,C
426,22,360 ÷ 15 = ?,23,24,25,26,C
427,22,256 + 189 = ?,444,445,446,447,C
428,22,620 - 287 = ?,332,333,334,335,C
429,22,45 x 8 = ?,356,357,358,359,B
430,22,144 ÷ 16 = ?,8,9,10,11,C
431,22,325 + 174 = ?,498,499,500,501,C
432,22,630 - 297 = ?,332,333,334,335,B
433,22,16 x 5 = ?,79,80,81,82,B
434,22,108 ÷ 9 = ?,11,12,13,14,B
435,22,423 + 176 = ?,598,599,600,601,C
436,22,800 - 487 = ?,312,313,314,315,C
437,22,19 x 3 = ?,56,57,58,59,B
438,22,144 ÷ 8 = ?,17,18,19,20,B
439,22,214 + 387 = ?,600,601,602,603,C
440,22,550 - 276 = ?,272,273,274,275,C
441,23,125 + 378 = ?,503,502,504,505,A
442,23,600 - 287 = ?,312,313,314,315,C
443,23,24 x 15 = ?,360,361,362,363,A
444,23,144 ÷ 12 = ?,11,12,13,14,B
445,23,523 + 478 = ?,1001,1000,1002,1003,A
446,23,1200 - 678 = ?,521,522,523,524,C
447,23,36 x 18 = ?,648,649,650,651,A
448,23,360 ÷ 15 = ?,23,24,25,26,B
449,23,412 + 589 = ?,1001,1000,1002,1003,A
450,23,672 - 289 = ?,382,383,384,385,C
451,23,56 x 19 = ?,1064,1065,1066,1067,A
452,23,144 ÷ 9 = ?,15,16,17,18,B
453,23,213 + 387 = ?,598,599,600,601,C
454,23,900 - 487 = ?,412,413,414,415,C
455,23,32 x 26 = ?,832,833,834,835,A
456,23,324 + 576 = ?,899,900,901,902,B
457,23,1000 - 459 = ?,541,542,543,544,A
458,23,23 x 14 = ?,321,322,323,324,C
459,23,360 ÷ 12 = ?,29,30,31,32,B
460,23,214 + 387 = ?,600,601,602,603,C
461,24,750 - 398 = ?,351,352,353,354,C
462,24,17 x 25 = ?,425,426,427,428,B
463,24,96 ÷ 8 = ?,11,12,13,14,B
464,24,348 + 267 = ?,614,615,616,617,C
465,24,620 - 287 = ?,332,333,334,335,C
466,24,18 x 23 = ?,414,415,416,417,C
467,24,180 ÷ 12 = ?,14,15,16,17,B
468,24,256 + 189 = ?,444,445,446,447,C
469,24,620 - 287 = ?,332,333,334,335,C
470,24,15 x 27 = ?,404,405,406,407,B
471,24,84 ÷ 7 = ?,11,12,13,14,B
472,24,312 + 178 = ?,489,490,491,492,C
473,24,750 - 398 = ?,351,352,353,354,C
474,24,23 x 18 = ?,410,411,412,413,C
475,24,360 ÷ 15 = ?,23,24,25,26,C
476,24,214 + 387 = ?,600,601,602,603,C
477,24,800 - 459 = ?,341,342,343,344,C
478,24,19 x 16 = ?,302,303,304,305,B
479,24,324 + 576 = ?,900,901,902,903,A
480,24,22 x 14 = ?,308,309,310,311,C
481,25,288 ÷ 8 = ?,35,36,37,38,B
482,25,412 + 589 = ?,1000,1001,1002,1003,C
483,25,672 - 289 = ?,382,383,384,385,C
484,25,56 x 13 = ?,728,729,730,731,A
485,25,213 + 387 = ?,598,599,600,601,C
486,25,900 - 487 = ?,412,413,414,415,C
487,25,32 x 17 = ?,544,545,546,547,C
488,25,288 ÷ 12 = ?,23,24,25,26,B
489,25,324 + 576 = ?,900,901,902,903,A
490,25,1000 - 459 = ?,541,542,543,544,A
491,25,14 x 16 = ?,222,223,224,225,C
492,25,360 ÷ 15 = ?,23,24,25,26,C
493,25,256 + 189 = ?,444,445,446,447,C
494,25,620 - 287 = ?,332,333,334,335,C
495,25,45 x 8 = ?,356,357,358,359,B
496,25,144 ÷ 16 = ?,8,9,10,11,C
497,25,325 + 174 = ?,498,499,500,501,C
498,25,630 - 297 = ?,332,333,334,335,B
499,25,16 x 5 = ?,79,80,81,82,B
500,25,108 ÷ 9 = ?,11,12,13,14,B
501,26,423 + 176 = ?,598,599,600,601,C
502,26,800 - 487 = ?,312,313,314,315,C
503,26,19 x 3 = ?,56,57,58,59,B
504,26,144 ÷ 8 = ?,17,18,19,20,B
505,26,214 + 387 = ?,600,601,602,603,C
506,26,550 - 276 = ?,272,273,274,275,C
507,26,125 + 378 = ?,503,502,504,505,A
508,26,600 - 287 = ?,312,313,314,315,C
509,26,24 x 15 = ?,360,361,362,363,A
510,26,144 ÷ 12 = ?,11,12,13,14,B
511,26,523 + 478 = ?,1001,1000,1002,1003,A
512,26,1200 - 678 = ?,521,522,523,524,C
513,26,36 x 18 = ?,648,649,650,651,A
514,26,360 ÷ 15 = ?,23,24,25,26,B
515,26,412 + 589 = ?,1001,1000,1002,1003,A
516,26,672 - 289 = ?,382,383,384,385,C
517,26,56 x 19 = ?,1064,1065,1066,1067,A
518,26,144 ÷ 9 = ?,15,16,17,18,B
519,26,213 + 387 = ?,598,599,600,601,C
520,26,900 - 487 = ?,412,413,414,415,C
521,27,32 x 26 = ?,832,833,834,835,A
522,27,324 + 576 = ?,899,900,901,902,B
523,27,1000 - 459 = ?,541,542,543,544,A
524,27,23 x 14 = ?,321,322,323,324,C
525,27,360 ÷ 12 = ?,29,30,31,32,B
526,27,214 + 387 = ?,600,601,602,603,C
527,27,750 - 398 = ?,351,352,353,354,C
528,27,17 x 25 = ?,425,426,427,428,B
529,27,96 ÷ 8 = ?,11,12,13,14,B
530,27,348 + 267 = ?,614,615,616,617,C
531,27,620 - 287 = ?,332,333,334,335,C
532,27,18 x 23 = ?,414,415,416,417,C
533,27,180 ÷ 12 = ?,14,15,16,17,B
534,27,256 + 189 = ?,444,445,446,447,C
535,27,620 - 287 = ?,332,333,334,335,C
536,27,15 x 27 = ?,404,405,406,407,B
537,27,84 ÷ 7 = ?,11,12,13,14,B
538,27,312 + 178 = ?,489,490,491,492,C
539,27,750 - 398 = ?,351,352,353,354,C
540,27,23 x 18 = ?,410,411,412,413,C
541,28,360 ÷ 15 = ?,23,24,25,26,C
542,28,214 + 387 = ?,600,601,602,603,C
543,28,800 - 459 = ?,341,342,343,344,C
544,28,19 x 16 = ?,302,303,304,305,B
545,28,324 + 576 = ?,900,901,902,903,A
546,28,22 x 14 = ?,308,309,310,311,C
547,28,288 ÷ 8 = ?,35,36,37,38,B
548,28,412 + 589 = ?,1000,1001,1002,1003,C
549,28,672 - 289 = ?,382,383,384,385,C
550,28,56 x 13 = ?,728,729,730,731,A
551,28,213 + 387 = ?,598,599,600,601,C
552,28,900 - 487 = ?,412,413,414,415,C
553,28,32 x 17 = ?,544,545,546,547,C
554,28,288 ÷ 12 = ?,23,24,25,26,B
555,28,324 + 576 = ?,900,901,902,903,A
556,28,1000 - 459 = ?,541,542,543,544,A
557,28,14 x 16 = ?,222,223,224,225,C
558,28,360 ÷ 15 = ?,23,24,25,26,C
